HSE Actions Item Tracker,,,,,,,,,,,,,
Sr. #,Date,Month,Auditor Name,Action Drived From,Audit Description,Area/Clauses,Actions / Recommendation,Severity,Responsible Department,Responsible Manager,Target date,Action Item Status,
1,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"The Safety Data Sheets (SDS) for LPG and SLG were not available at the facility. SDS must be properly displayed at prominent locations and in the local language (Urdu) to ensure accessibility and understanding. It is essential to implement, maintain, and regularly update the SDS for regulatory compliance and workplace safety. Additionally, training on both SDSs should be conducted for all relevant staff, and documentary evidence of these trainings must be maintained for verification and audit purposes.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
2,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Routine inspections of LPG and SNG tanks are carried out regularly by both the Powerhouse and HSE teams. However, these inspections are not documented. It is essential to maintain proper inspection records to ensure regulatory compliance and traceability.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
3,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"No controlled Standard Operating Procedures (SOPs) are available for LPG transfer, storage, and emergency shutdown. It is essential to ensure the availability of controlled SOPs through the IMS system and to display them in the local language at the LPG facility for effective communication and compliance.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
4,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"The mechanical integrity is conducted. However, a formal plan needs to be developed, documented, and periodically reviewed to ensure compliance with safety standards.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
5,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Process Safety Management (PSM) is currently not implemented at the CBL site, and no training on PSM has been provided to employees involved in the operation and maintenance of the LPG system. Additionally, operational SOP training for LPG storage has not been conducted for the relevant staff.
There is a need to establish a comprehensive operations and maintenance SOP training plan for all concerned personnel.",Low,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
6,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Leak detection system, and pressure gauges are installed, working, and calibrated. However, LEL detectors have not been calibrated and requir immediate attention to ensure reliable gas monitoring.",High,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
7,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Workers involved in LPG loading and unloading are experienced; however, no documented training records are available. It is essential to conduct formal, documented training followed by written validation to ensure proper understanding of loading/unloading procedures and safe LPG handling practices.",Low,HSE,Naveed Taqvi,Q3 2026,Done,
8,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Emergency shut-off valves are operational and have been tested. However, they should also be tested during emergency mock drills to evaluate response time and effectiveness in real-time scenarios.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
9,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Hose assemblies are pressure-rated and have undergone pressure testing. However, to ensure full compliance, all hoses must remain within their inspection validity period, and test records should be consistently maintained. Inspection and testing should be carried out as part of preventive maintenance (PM) planning on annual basis.",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
10,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,These all found leak-free but show some signs of corrosion. It is recommended to inspect and replace any corroded components to ensure long-term safety and functionality.,Low,ESD,Adeel Siddiqui  ,Q3 2026,Done,
11,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"Emergency drills have not been conducted or documented on an annual basis. It is essential to develop and implement regular emergency response drills covering various LPG storage scenarios, and to maintain proper documentation to ensure preparedness and compliance with safety standards.",Low,HSE,Naveed Taqvi,Q3 2026,Done,
12,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"A Zone Classification study has not yet been conducted for the LPG storage facility. It is necessary to arrange an Area/Zone Classification assessment through a qualified third-party expert to ensure compliance with safety standards and proper hazardous area identification.

",Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
13,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,Fireproofing of the structural supports and vessel skirts of the LPG storage is strongly recommended and is required as per applicable standards.,Medium,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
14,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"No lightning arrestors were found installed on the LPG storage tanks, posing a serious risk of ignition in the event of a lightning strike. It is strongly recommended to install certified lightning protection systems, properly connected to an effective earthing network, preferably at the nearest elevated structure, such as the FG warehouse.",High,ESD,Adeel Siddiqui  ,Q3 2026,WIP,
15,03-May-25,May,"Naveed Taqvi, Junaid Ali Khan",Critical / Specialist Audit Plan,LPG Storage Facility  Audit,LPG Storage Facility  Audit,"There is no shed installed over the LPG decanting pump, leaving it exposed to direct sunlight, rain, and dust. It is recommended to install a properly designed non-combustible shed to protect the pump from environmental elements, prevent equipment degradation, and reduce potential fire or operational hazards in line with good engineering and safety practices.",High,ESD,Adeel Siddiqui  ,Q3 2026,Pending,
